"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
16.84,0.25,5.27,Giorgini,20000433,"   433 Eros (A898 PA)",2460600.5,0.2227,1.458,304.27,178.91,86.67,643,10.83
,,5.801,"Otto Matic",20000719,"   719 Albert (A911 TB)",2460600.5,0.5468,2.636,183.86,156.22,148.45,1.56e+03,11.58
4.2,0.31,28.41,"Otto Matic",20000887,"   887 Alinda (A918 AA)",2460600.5,0.5711,2.473,110.42,350.47,340.20,1.42e+03,9.40
37.675,0.238,10.297,"Otto Matic",20001036,"  1036 Ganymed (A924 UB)",2460600.5,0.5328,2.665,215.49,132.50,6.98,1.59e+03,26.69
1.0,,,"Otto Matic",20001221,"  1221 Amor (1932 EA1)",2460600.5,0.4347,1.92,171.26,26.72,271.70,972,11.87
1.0,0.51,2.2726,"Otto Matic",20001566,"  1566 Icarus (1949 MA)",2460600.5,0.8270,1.078,87.95,31.43,160.86,409,22.80
5.8,0.08,6.1324,"Otto Matic",20001580,"  1580 Betulia (1950 KA)",2460600.5,0.4876,2.195,62.23,159.73,319.03,1.19e+03,52.19
2.56,0.290,5.22204,"Otto Matic",20001620,"  1620 Geographos (1951 RA)",2460600.5,0.3356,1.246,337.15,277.01,289.36,508,13.34
9.12,0.15,4.795,"Otto Matic",20001627,"  1627 Ivar (1929 SH)",2460600.5,0.3970,1.863,133.08,167.84,156.41,929,8.45
3.4,0.31,10.1995,"Otto Matic",20001685,"  1685 Toro (1948 OA)",2460600.5,0.4361,1.368,274.21,127.27,196.26,584,9.38
1.5,0.25,3.065,"Otto Matic",20001862,"  1862 Apollo (1932 HA)",2460600.5,0.5599,1.471,35.56,286.03,252.87,651,6.35
2.1,0.24,7.453,"Otto Matic",20001863,"  1863 Antinous (1948 EA)",2460600.5,0.6063,2.261,346.00,268.57,173.83,1.24e+03,18.35
3.7,0.273,8.572,"Otto Matic",20001864,"  1864 Daedalus (1971 FA)",2460600.5,0.6143,1.461,6.61,325.66,34.28,645,22.21
1.2,0.22,6.8039,"Otto Matic",20001865,"  1865 Cerberus (1971 UA)",2460600.5,0.4668,1.08,212.89,325.29,328.39,410,16.10
8.48,0.15,2.4,"Otto Matic",20001866,"  1866 Sisyphus (1972 XA)",2460600.5,0.5380,1.894,63.45,293.12,349.34,952,41.21
0.5,0.21,4.9,"Otto Matic",20001915,"  1915 Quetzalcoatl (1953 EA)",2460600.5,0.5703,2.544,162.93,347.77,284.48,1.48e+03,20.40
3.5,,3.4746,"Otto Matic",20001916,"  1916 Boreas (1953 RA)",2460600.5,0.4493,2.273,340.60,335.86,280.05,1.25e+03,12.88
5.7,0.195,2.689,"Otto Matic",20001917,"  1917 Cuyo (1968 AA)",2460600.5,0.5057,2.149,188.28,194.56,34.92,1.15e+03,23.96
2.3,0.17,2.86923,"Otto Matic",20001943,"  1943 Anteros (1973 EC)",2460600.5,0.2561,1.43,246.30,338.46,29.90,625,8.71
4.3,0.25,7.24612,"Otto Matic",20001980,"  1980 Tezcatlipoca (1950 LA)",2460600.5,0.3647,1.71,246.54,115.51,35.06,817,26.87
3.4,,5.22,"Otto Matic",20001981,"  1981 Midas (1973 EA)",2460600.5,0.6505,1.776,356.80,267.84,258.81,865,39.82
,,129.47,"Otto Matic",20002059,"  2059 Baboquivari (1963 UA)",2460600.5,0.5318,2.642,200.69,192.45,51.33,1.57e+03,11.02
2.6,,6.712,"Otto Matic",20002061,"  2061 Anza (1960 UA)",2460600.5,0.5356,2.265,207.36,157.09,283.26,1.25e+03,3.80
1.1,0.26,42.15,Giorgini,20002062,"  2062 Aten (1976 AA)",2460600.5,0.1829,0.967,108.53,148.06,338.03,347,18.93
1.024,0.203,14.904,"Otto Matic",20002063,"  2063 Bacchus (1977 HB)",2460600.5,0.3494,1.078,33.04,55.34,242.55,409,9.44
2.3,0.13,19.797,"Otto Matic",20002100,"  2100 Ra-Shalom (1978 RA)",2460600.5,0.4365,0.832,170.78,356.08,89.62,277,15.75
0.6,,,"Otto Matic",20002101,"  2101 Adonis (1936 CA)",2460600.5,0.7642,1.874,349.43,43.69,230.82,937,1.32
1.649,0.245,2.384,"Otto Matic",20002102,"  2102 Tantalus (1975 YA)",2460600.5,0.2993,1.29,94.35,61.52,78.27,535,64.00
