"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
11.0,0.04,,"Davide Farnocchia",1000036,"    1P/Halley",2439907.5,0.9679,17.93,59.07,112.21,274.81,2.77e+04,162.20
4.8,0.046,11.083,"Davide Farnocchia",1000025,"    2P/Encke",2459766.5,0.8484,2.22,334.29,187.03,219.12,1.21e+03,11.48
,,,Marsden,1000504,"    3D/Biela",2390520.5,0.7513,3.535,250.67,221.66,0.95,2.43e+03,13.22
,,,Landgraf,1000505,"    5D/Brorsen",2407440.5,0.8098,3.101,102.97,14.95,0.17,1.99e+03,29.38
5.2,,,"Davide Farnocchia",1000069,"    7P/Pons-Winnecke",2457137.5,0.6376,3.419,93.42,172.51,13.17,2.31e+03,22.33
4.5,,,"Davide Farnocchia",1000099,"    8P/Tuttle",2454701.5,0.8198,5.7,270.34,207.51,15.13,4.97e+03,54.98
,,,"Davide Farnocchia",1000068,"   12P/Pons-Brooks",2460209.5,0.9546,17.18,255.86,198.99,357.07,2.6e+04,74.19
,,,"Davide Farnocchia",1000066,"   13P/Olbers",2458928.5,0.9298,16.66,85.84,64.58,337.34,2.48e+04,44.63
,,,"Davide Farnocchia",1000027,"   15P/Finlay",2457327.5,0.7202,3.49,13.75,347.63,46.69,2.38e+03,6.80
,,,"M.S.W. Keesey",1000144,"   18D/Perrine-Mrkos",2440240.5,0.6426,3.56,240.88,166.05,11.51,2.45e+03,17.76
,,,"M.S.W. Keesey",1000212,"   20D/Westphal",2420080.5,0.9198,15.64,348.01,57.08,359.72,2.26e+04,40.89
2.0,,,"Shantanu Naidu",1000032,"   21P/Giacobini-Zinner",2458065.5,0.7105,3.5,195.40,172.81,313.91,2.39e+03,32.00
,,,"M.S.W. Keesey",1000009,"   23P/Brorsen-Metcalf",2447800.5,0.9720,17.07,311.59,129.61,0.27,2.58e+04,19.33
2.6,,,"Shantanu Naidu",1000077,"   24P/Schaumasse",2457350.5,0.7048,4.086,79.67,58.00,273.65,3.02e+03,11.73
2.6,,,"Davide Farnocchia",1000034,"   26P/Grigg-Skjellerup",2455951.5,0.6391,3.027,211.66,1.80,261.15,1.92e+03,22.47
,,,"Davide Farnocchia",1000016,"   27P/Crommelin",2452489.5,0.9193,9.093,250.96,195.96,241.87,1e+04,29.22
,,,Marsden,1000284,"   34D/Gale",2429080.5,0.7607,4.944,67.92,209.16,1.12,4.02e+03,11.73
,,,Marsden,1000043,"   35P/Herschel-Rigollet",2429480.5,0.9740,28.84,355.98,29.30,359.97,5.66e+04,64.21
1.4,,,"Davide Farnocchia",1000100,"   41P/Tuttle-Giacobini-Kresak",2457857.5,0.6613,3.085,141.06,62.17,0.23,1.98e+03,9.23
1.6,,,"Davide Farnocchia",1000045,"   45P/Honda-Mrkos-Pajdusakova",2457979.5,0.8240,3.026,88.93,326.34,42.26,1.92e+03,4.25
1.2,,,"Davide Farnocchia",1000109,"   46P/Wirtanen",2458465.5,0.6588,3.093,82.16,356.34,0.01,1.99e+03,11.75
3.6,0.06,,"M.S.W. Keesey",1000095,"   55P/Tempel-Tuttle",2451040.5,0.9056,10.34,235.27,172.50,4.98,1.21e+04,162.49
,,,"Davide Farnocchia",1000021,"   66P/du Toit",2456961.5,0.7866,6.023,22.00,257.34,273.48,5.4e+03,18.67
3.4,,12.76129,"Davide Farnocchia",1000012,"   67P/Churyumov-Gerasimenko",2457305.5,0.6409,3.462,50.14,12.80,8.86,2.35e+03,7.04
,,,"Davide Farnocchia",1000020,"   72P/Denning-Fujikawa",2457286.5,0.8205,4.347,35.44,338.47,47.38,3.31e+03,9.23
,,,"Davide Farnocchia",1000394,"   73P/Schwassmann-Wachmann 3",2457800.5,0.6855,3.091,69.66,199.39,354.77,1.99e+03,11.24
,,,"Davide Farnocchia",1003776,"   73P/Schwassmann-Wachmann 3-A",2450080.5,0.6957,3.067,69.94,198.83,17.81,1.96e+03,11.42
,,,"Nick Mastrodemos",1000320,"   73P/Schwassmann-Wachmann 3-B",2453880.5,0.6933,3.062,69.89,198.80,357.44,1.96e+03,11.40
,,,"Alan B. Chamberlin",1000081,"   73P/Schwassmann-Wachmann 3-C",2455980.5,0.6922,3.063,69.84,198.87,23.73,1.96e+03,11.38
,,,"M.S.W. Keesey",1000324,"   73P/Schwassmann-Wachmann 3-E",2451920.5,0.6939,3.062,69.92,198.77,356.79,1.96e+03,11.41
,,,"Nick Mastrodemos",1002326,"   73P/Schwassmann-Wachmann 3-G",2453839.5,0.6934,3.063,69.91,198.77,349.87,1.96e+03,11.39
,,,"Nick Mastrodemos",1002327,"   73P/Schwassmann-Wachmann 3-H",2453839.5,0.6936,3.065,69.91,198.77,349.85,1.96e+03,11.39
,,,"Otto Matic",1002336,"   73P/Schwassmann-Wachmann 3-J",2453815.5,0.6915,3.044,69.83,198.87,345.31,1.94e+03,11.38
,,,"Nick Mastrodemos",1002332,"   73P/Schwassmann-Wachmann 3-K",2453839.5,0.6935,3.064,69.90,198.79,349.85,1.96e+03,11.39
,,,"Nick Mastrodemos",1002334,"   73P/Schwassmann-Wachmann 3-L",2453839.5,0.6947,3.076,69.94,198.75,349.89,1.97e+03,11.40
,,,"Nick Mastrodemos",1002331,"   73P/Schwassmann-Wachmann 3-M",2453839.5,0.6939,3.068,69.91,198.78,349.87,1.96e+03,11.39
