"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
1.0,0.51,2.2726,"Otto Matic",20001566,"  1566 Icarus (1949 MA)",2460600.5,0.8270,1.078,87.95,31.43,160.86,409,22.80
2.56,0.290,5.22204,"Otto Matic",20001620,"  1620 Geographos (1951 RA)",2460600.5,0.3356,1.246,337.15,277.01,289.36,508,13.34
1.5,0.25,3.065,"Otto Matic",20001862,"  1862 Apollo (1932 HA)",2460600.5,0.5599,1.471,35.56,286.03,252.87,651,6.35
3.4,,5.22,"Otto Matic",20001981,"  1981 Midas (1973 EA)",2460600.5,0.6505,1.776,356.80,267.84,258.81,865,39.82
0.6,,,"Otto Matic",20002101,"  2101 Adonis (1936 CA)",2460600.5,0.7642,1.874,349.43,43.69,230.82,937,1.32
1.649,0.245,2.384,"Otto Matic",20002102,"  2102 Tantalus (1975 YA)",2460600.5,0.2993,1.29,94.35,61.52,78.27,535,64.00
,,,"Otto Matic",20002135,"  2135 Aristaeus (1977 HA)",2460600.5,0.5030,1.6,191.11,290.97,202.31,739,23.07
1.80,0.4328,26,"Otto Matic",20002201,"  2201 Oljato (1947 XC)",2460600.5,0.7107,2.179,74.87,98.37,334.42,1.17e+03,2.52
0.3,,3.35,Giorgini,20002340,"  2340 Hathor (1976 UA)",2460600.5,0.4500,0.8438,211.29,40.10,53.40,283,5.86
4.9,0.231,2.3581,"Otto Matic",20003122,"  3122 Florence (1981 ET3)",2460600.5,0.4231,1.769,336.05,27.90,0.67,859,22.14
6.25,0.1066,3.604,"Otto Matic",20003200,"  3200 Phaethon (1983 TB)",2460600.5,0.8898,1.271,265.10,322.31,248.98,524,22.31
0.3,0.357,3.5327,"Otto Matic",20003361,"  3361 Orpheus (1982 HR)",2460600.5,0.3229,1.21,188.68,302.34,24.54,486,2.66
0.7,0.21,,"Otto Matic",20003362,"  3362 Khufu (1984 QA)",2460600.5,0.4685,0.9895,152.40,55.09,359.85,360,9.92
1.5,0.16,2.7053,"Otto Matic",20003671,"  3671 Dionysus (1984 KD)",2460600.5,0.5420,2.2,82.05,204.33,131.35,1.19e+03,13.54
0.5,0.18,9.012,"Otto Matic",20003757,"  3757 Anagolay (1982 XB)",2460600.5,0.4459,1.834,74.93,17.24,293.70,908,3.87
4,0.05,3.5736,"Otto Matic",20004015,"  4015 Wilson-Harrington (1979 VA)",2460600.5,0.6312,2.626,266.73,95.52,181.75,1.55e+03,2.80
0.42,0.52,44.4,"Otto Matic",20004034,"  4034 Vishnu (1986 PA)",2460600.5,0.4441,1.06,157.89,296.70,260.40,398,11.17
5.4,0.405,176.,"Otto Matic",20004179,"  4179 Toutatis (1989 AC)",2460600.5,0.6248,2.543,125.36,277.88,339.68,1.48e+03,0.45
3.651,0.097,3.5595,"Otto Matic",20004183,"  4183 Cuno (1959 LM)",2460600.5,0.6361,1.981,294.35,237.02,175.91,1.02e+03,6.67
,,56.48,"Otto Matic",20004450,"  4450 Pan (1987 SY)",2460600.5,0.5866,1.443,311.70,291.94,192.17,633,5.52
1.849,0.297,67.5,"Otto Matic",20004486,"  4486 Mithra (1987 SB)",2460600.5,0.6620,2.205,82.18,169.12,156.61,1.2e+03,3.04
,,8.008,"Otto Matic",20004581,"  4581 Asclepius (1989 FC)",2460600.5,0.3570,1.023,180.20,255.38,212.12,378,4.92
0.33,0.55,15.1749,"Otto Matic",20004660,"  4660 Nereus (1982 DB)",2460600.5,0.3587,1.485,313.11,159.54,191.96,661,1.45
1.4,0.092,4.095,"Otto Matic",20004769,"  4769 Castalia (1989 PB)",2460600.5,0.4832,1.063,325.51,121.44,324.11,400,8.88
,,14.218,"Otto Matic",20004953,"  4953 (1990 MU)",2460600.5,0.6574,1.621,77.53,77.93,285.02,754,24.38
,,56.3,"Otto Matic",20005011,"  5011 Ptah (6743 P-L)",2460600.5,0.5001,1.636,10.63,105.94,173.66,764,7.41
,,6.653,"Otto Matic",20005189,"  5189 (1990 UQ)",2460600.5,0.4783,1.552,135.05,159.95,257.64,706,3.58
0.55,0.48,5.3375,"Otto Matic",20005604,"  5604 (1992 FE)",2460600.5,0.4061,0.9286,311.89,82.68,269.92,327,4.71
,,2.496,"Otto Matic",20005693,"  5693 (1993 EA)",2460600.5,0.5851,1.271,96.98,258.98,203.14,523,5.06
,,2.7602,"Otto Matic",20006037,"  6037 (1988 EG)",2460600.5,0.4997,1.272,182.18,242.32,249.72,524,3.51
,,3.5558,"Otto Matic",20006239,"  6239 Minos (1989 QF)",2460600.5,0.4126,1.151,344.53,239.77,224.50,451,3.94
0.53,0.151,6.026,"Otto Matic",20006489,"  6489 Golevka (1991 JX)",2460600.5,0.6151,2.484,209.42,68.66,151.88,1.43e+03,2.27
,,2.69,"Otto Matic",20006491,"  6491 (1991 OA)",2460600.5,0.5917,2.506,301.00,324.73,142.22,1.45e+03,6.00
1.8,0.448,2.58988,"Otto Matic",20007335,"  7335 (1989 JA)",2460600.5,0.4846,1.772,61.28,232.27,349.17,862,15.17
0.982,0.235,4.2096,"Otto Matic",20007341,"  7341 (1991 VK)",2460600.5,0.5061,1.841,294.73,173.48,37.89,913,5.41
1.052,0.277,2.5999,"Otto Matic",20007482,"  7482 (1994 PC1)",2460600.5,0.3294,1.349,117.85,47.49,246.56,572,33.47
,,42.2,"Otto Matic",20007753,"  7753 (1988 XB)",2460600.5,0.4817,1.467,73.39,280.08,95.85,649,3.12
1.602,0.075,2.3896,"Otto Matic",20007822,"  7822 (1991 CS)",2460600.5,0.1646,1.123,156.84,249.45,182.35,435,37.12
